;total;kingdom;phylum;class;order;family;genus;eg;ee;mg;me;lg;le;eg_proc;ee_proc;mg_proc;me_proc;lg_proc;le_proc
Lythrum;393792;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum;0;4355;356141;4706;0;28590;0;11.56675786;100;12.49900401;0;75.93423813
Chamaenerion;353284;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Chamaenerion;13382;31768;190471;75799;33696;8168;5.633364064;27.44891347;80.18177302;65.49358448;14.18486291;7.057502052
Circaea;116969;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Circaea;0;0;7036;109933;0;0;0;0;100;100;0;0
Epilobium;2567559;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;1908372;122191;222176;230188;20553;64079;88.7160575;29.34053374;10.3284783;55.27280062;0.955464202;15.38666564
Carex;1674810;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;232245;76679;33195;895817;16191;420683;82.46428838;5.503887153;11.78669962;64.30020837;5.749012005;30.19590447
Cyperaceae unidentified;14783;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;unidentified;58;943;0;13654;0;128;100;7.324271845;0;185.7568092;0;6.918918919
Eleocharis;54213;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;0;0;7488;15778;0;30947;0;0;100;33.76779026;0;66.23220974
Eriophorum;23071;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;0;1531;0;21540;0;0;NA;6.636036583;NA;93.36396342;NA;0
Juncus;76149;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;34911;4452;3913;32261;0;612;89.92118277;11.92766242;10.07881723;86.43268587;0;1.639651708
Luzula;9712;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula;2109;4424;0;2601;0;578;100;58.18755754;0;34.21018019;0;7.602262265
Agrostis;3171589;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Agrostis;107721;54242;27983;1275373;526721;1179549;16.26161452;2.161755868;4.224327282;50.82860267;79.5140582;47.00964146
Alopecurus;21359;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Alopecurus;0;1705;1050;13991;0;4613;0;8.395292727;100;68.89063962;0;22.71406765
Anthoxanthum;34302;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;0;2603;320;1575;0;29804;0;7.659937614;100;4.634806662;0;87.70525572
Arrhenatherum;10545;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Arrhenatherum;0;7783;0;1868;0;894;NA;73.8074917;NA;17.71455666;NA;8.477951636
Avenella;147710;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;0;38444;8643;52058;235;48330;0;27.69102224;97.35300743;37.49711882;2.646992566;34.81185894
Avenula;640;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenula;0;134;0;0;0;506;NA;20.9375;NA;0;NA;79.0625
Bromus;48064;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus;0;80;953;46022;243;766;0;0.170692157;79.68227425;98.19493044;20.31772575;1.6343774
Cynosurus;50861;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Cynosurus;1441;0;942;39312;6095;3071;16.99693324;0;11.11111111;92.7541703;71.89195565;7.245829696
Dactylis;66365;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Dactylis;0;5035;2125;39954;222;19029;0;7.864975476;90.54111632;62.41057203;9.458883681;29.7244525
Deschampsia;55316;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;55;1712;439;21634;0;31476;11.13360324;3.122833899;88.86639676;39.46225968;0;57.41490642
Festuca;331354;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;15837;12549;3679;93160;40103;166026;26.56367936;4.618102195;6.170851574;34.28340111;67.26546906;61.0984967
Glyceria;610622;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Glyceria;64;59073;473;266978;0;284034;11.91806331;9.682749125;88.08193669;43.76078743;0;46.55646344
Helictochloa;668;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Helictochloa;0;0;0;668;0;0;NA;0;NA;100;NA;0
Holcus;137963;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Holcus;8323;35727;3342;48862;0;41709;71.35019288;28.28785887;28.64980712;38.68786521;0;33.02427592
Lolium;44976;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;0;1017;940;33609;0;9410;0;2.309474067;100;76.32164593;0;21.36888001
Melica;12664;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Melica;2083;9461;0;820;0;300;100;89.41498913;0;7.7497401;0;2.835270768
Milium;3731;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Milium;0;3731;0;0;0;0;NA;100;NA;0;NA;0
Molinia;192;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Molinia;0;0;0;192;0;0;NA;0;NA;100;NA;0
Nardus;3460;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Nardus;0;3200;0;0;0;260;NA;92.48554913;NA;0;NA;7.514450867
Phalaris;61977;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phalaris;0;308;0;52022;0;9647;NA;0.496958549;NA;83.93758975;NA;15.5654517
