class;order;family;genus;januar.galloway;januar.exmoor;februar.galloway;februar.exmoor;marts.galloway;marts.exmoor;april.galloway;april.exmoor;maj.galloway;maj.exmoor;juni.galloway;juni.exmoor;juli.galloway;juli.exmoor;august.galloway;august.exmoor;september.galloway;september.exmoor;oktober.galloway;oktober.exmoor;november.galloway;november.exmoor;december.galloway;december.exmoor;total.reads
;;;Phleum;479;0;0;0;0;227;0;0;126;0;0;2540;0;7453;0;1006;418;0;125;0;0;0;0;0;12374
;;;Poa;3800;752;7907;842;2902;1596;17904;29398;21528;31373;57820;35109;4889;29758;488781;74256;6369;5689;15776;4192;8483;364;3397;8749;861634
;;;Poaceae unidentified;1676;643;4195;0;14604;199;614;1492;809;8708;10112;17395;817;8445;56995;4845;7594;6346;4918;19377;26537;5353;539;755;202968
;Ranunculales;Papaveraceae;Chelidonium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1072;0;0;0;0;0;0;0;0;0;1072
;;Ranunculaceae;Anemone;0;0;0;0;0;0;0;21294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21294
;;;Callianthemum;109;0;0;105;86;0;0;0;1533;1007;0;0;210;0;0;0;0;0;0;0;0;0;0;0;3050
;;;Ficaria;0;0;0;376;0;0;1126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1502
;;;Ranunculus;18186;3168;37752;7538;1379;1539;7434;3582;4006;3233;5174;7903;4472;16077;233154;9803;2159;749;30946;2853;70072;31119;6727;0;509025
;Rosales;Rhamnaceae;Frangula;1520;0;0;0;0;0;0;0;0;0;0;0;6138;10432;1952;37273;3461;0;8695;0;0;166;0;0;69637
;;Rosaceae;Agrimonia;0;0;0;0;1411;0;90722;2126;3405;821;3451;0;735;4826;461;841;0;0;37547;0;0;0;0;0;146346
;;;Comarum;0;0;234;0;0;0;0;0;0;0;12072;0;0;0;0;0;0;0;0;0;0;0;0;0;12306
;;;Crataegus;0;0;0;0;0;0;5169;0;1159;0;14536;0;0;0;0;0;0;0;0;0;220;0;596;0;21680
;;;Filipendula;0;165;0;644;0;1118;348207;92661;3383;3841;0;0;434;998;17191;3044;10526;485;113015;763;4380;5930;0;0;606785
;;;Fragaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16672;0;0;0;0;16672
;;;Geum;12737;13550;22116;4087;481003;7086;302154;262321;304295;204080;14894;34200;36843;38547;104396;20162;9191;2608;52548;45687;2442;3554;5286;3099;1986886
;;;Malus;0;0;10638;0;8055;0;903;0;0;0;0;0;0;6742;5276;41658;46649;49661;24812;17714;337;0;9176;3947;225568
;;;Potentilla;129427;1987;24341;10447;4792;1927;111479;80729;188217;188283;938949;410545;438000;416369;2071771;804368;62087;267220;451984;28369;197473;146706;5609;7420;6988499
;;;Prunus;47180;1578;15576;2513;114013;39582;77095;2515;648362;312682;279427;350209;415917;798778;10388;99031;16155;185457;83167;799276;243204;631177;210609;482941;5866832
;;;Rosa;874;0;534;436;115389;1614717;461724;118424;94595;0;507;67631;32707;383651;32394;206084;98480;159664;355695;721218;18494;45178;87020;75800;4691216
;;;Rosaceae genus 1 (alchemilla/aphanes);0;0;0;0;167;493;1396;556;0;0;0;4805;0;0;0;0;0;0;0;0;0;0;0;0;7417
;;;Rosaceae genus 7 (prunus/amelanchier);0;0;0;0;0;609;0;0;0;14716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15325
;;;Rosaceae unidentified;517;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;550;0;0;0;0;0;1156
;;;Rubus;3785739;4887993;4101474;5004512;1805512;3198351;2595442;4092009;795752;1742892;210857;783067;2057476;1182337;820625;2330849;2277162;1033678;1133448;1347072;3102647;4075412;3171532;4367531;59903369
;;;Sorbus;12265;154;3244;1203;0;1291;1059;0;695;1586;0;196;0;0;0;0;2125;2397;3679;1361;4699;2670;7564;10435;56623
;;Urticaceae;Urtica;0;308;7946;0;793;0;484;0;0;0;0;0;681;1704;0;0;1331;0;0;0;0;317;0;1623;15187
;Sapindales;Sapindaceae;Acer;0;0;1782;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1937
;Saxifragales;Crassulaceae;Hylotelephium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1088;0;0;0;0;0;0;0;1088
;Solanales;Convolvulaceae;Convolvulus;0;0;0;0;0;0;0;3489;264;297;0;0;0;434;0;4276;0;0;0;0;0;0;0;0;8760
Pinopsida;NOID;Cupressaceae;Cupressaceae unidentified;0;0;0;0;0;370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370
;;;Juniperus;869;228;0;0;0;50;0;9353;0;0;0;0;0;0;0;0;0;0;0;1153;0;380;1136;0;13169
;;Pinaceae;Picea;0;0;0;0;0;0;0;979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;979
;;;Pinus;0;0;0;0;221;0;262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;483
;;Taxaceae;Taxus;0;0;7527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7527
unidentified;unidentified;unidentified;unidentified reads;610;2449;1056;482;1467;630;4437;3546;3561;505;237;13091;602;2711;1037;1897;0;465;1990;1473;1206;0;0;0;43452
